action,month,day,hour,count,sum,average,std,step
TRANSPORT_PRIVATE,4,11,19,23,357.4,15.5,8.0,101
HEALTHCARE,4,11,16,14,1682.6,120.2,80.0,101
SHOPPING_CLOTHES,4,11,17,16,1432.1,89.5,45.0,101
SHOPPING_ELECTRONICS,4,11,11,8,2060.8,257.6,150.0,101
ENTERTAINMENT,4,11,22,24,761.8,31.7,20.0,101
HOUSING,4,11,2,5,8690.2,1738.0,600.0,101
INSURANCE,4,11,1,3,635.4,211.8,100.0,101
EDUCATION,4,11,15,2,1062.2,531.1,300.0,101
TRAVEL,4,11,10,5,806.6,161.3,100.0,101
CASH_WITHDRAWAL,4,11,13,6,637.2,106.2,50.0,101
CASH_DEPOSIT,4,11,10,2,920.0,460.0,300.0,101
BANK_TRANSFER,4,11,16,2,2186.8,1093.4,500.0,101
CREDIT_CARD_PAYMENT,4,11,17,5,397.9,79.6,40.0,101
FOOD_GROCERIES,4,12,15,42,1777.3,42.3,15.0,102
FOOD_RESTAURANT,4,12,20,21,485.2,23.1,12.0,102
TRANSPORT_PUBLIC,4,12,16,31,280.6,9.1,5.0,102
TRANSPORT_PRIVATE,4,12,18,25,338.1,13.5,8.0,102
HEALTHCARE,4,12,9,11,1255.9,114.2,80.0,102
SHOPPING_CLOTHES,4,12,15,14,1304.9,93.2,45.0,102
SHOPPING_ELECTRONICS,4,12,18,9,2399.1,266.6,150.0,102
ENTERTAINMENT,4,12,19,17,550.4,32.4,20.0,102
HOUSING,4,12,3,5,9077.9,1815.6,600.0,102
INSURANCE,4,12,2,3,653.2,217.7,100.0,102
EDUCATION,4,12,16,3,1616.4,538.8,300.0,102
TRAVEL,4,12,17,7,1144.1,163.4,100.0,102
CASH_WITHDRAWAL,4,12,11,5,469.9,94.0,50.0,102
CASH_DEPOSIT,4,12,12,3,1603.2,534.4,300.0,102
BANK_TRANSFER,4,12,10,2,1974.0,987.0,500.0,102
CREDIT_CARD_PAYMENT,4,12,16,6,491.1,81.9,40.0,102
FOOD_GROCERIES,4,13,19,65,3181.3,48.9,15.0,103
FOOD_RESTAURANT,4,13,11,36,931.6,25.9,12.0,103
TRANSPORT_PUBLIC,4,13,16,41,313.7,7.7,5.0,103
TRANSPORT_PRIVATE,4,13,18,34,550.9,16.2,8.0,103
HEALTHCARE,4,13,8,18,2372.2,131.8,80.0,103
SHOPPING_CLOTHES,4,13,14,23,1880.1,81.7,45.0,103
SHOPPING_ELECTRONICS,4,13,15,10,2565.4,256.5,150.0,103
ENTERTAINMENT,4,13,19,23,782.2,34.0,20.0,103
HOUSING,4,13,3,8,13142.9,1642.9,600.0,103
INSURANCE,4,13,1,4,744.5,186.1,100.0,103
EDUCATION,4,13,12,3,1470.6,490.2,300.0,103
TRAVEL,4,13,17,6,985.6,164.3,100.0,103
CASH_WITHDRAWAL,4,13,19,6,581.0,96.8,50.0,103
CASH_DEPOSIT,4,13,10,3,1635.6,545.2,300.0,103
BANK_TRANSFER,4,13,13,3,3047.4,1015.8,500.0,103
CREDIT_CARD_PAYMENT,4,13,17,6,467.5,77.9,40.0,103
FOOD_GROCERIES,4,14,10,64,2763.7,43.2,15.0,104
FOOD_RESTAURANT,4,14,13,28,754.4,26.9,12.0,104
TRANSPORT_PUBLIC,4,14,9,50,431.5,8.6,5.0,104
TRANSPORT_PRIVATE,4,14,19,27,439.8,16.3,8.0,104
HEALTHCARE,4,14,11,18,1971.7,109.5,80.0,104
SHOPPING_CLOTHES,4,14,16,27,2375.6,88.0,45.0,104
SHOPPING_ELECTRONICS,4,14,17,10,2284.1,228.4,150.0,104
ENTERTAINMENT,4,14,21,23,845.9,36.8,20.0,104
HOUSING,4,14,3,7,12681.2,1811.6,600.0,104
INSURANCE,4,14,3,4,737.7,184.4,100.0,104
EDUCATION,4,14,13,4,1827.8,456.9,300.0,104
TRAVEL,4,14,8,8,1117.1,139.6,100.0,104
CASH_WITHDRAWAL,4,14,22,8,843.0,105.4,50.0,104
CASH_DEPOSIT,4,14,12,4,1887.2,471.8,300.0,104
BANK_TRANSFER,4,14,16,3,2732.5,910.8,500.0,104
CREDIT_CARD_PAYMENT,4,14,13,8,552.8,69.1,40.0,104
FOOD_GROCERIES,4,15,18,37,1752.0,47.4,15.0,105
FOOD_RESTAURANT,4,15,18,24,631.2,26.3,12.0,105
TRANSPORT_PUBLIC,4,15,16,33,295.9,9.0,5.0,105
TRANSPORT_PRIVATE,4,15,18,22,319.3,14.5,8.0,105
HEALTHCARE,4,15,15,13,1632.0,125.5,80.0,105
SHOPPING_CLOTHES,4,15,15,15,1298.3,86.6,45.0,105
SHOPPING_ELECTRONICS,4,15,13,7,1852.5,264.6,150.0,105
ENTERTAINMENT,4,15,20,19,670.1,35.3,20.0,105
HOUSING,4,15,2,6,11191.3,1865.2,600.0,105
INSURANCE,4,15,4,3,638.6,212.9,100.0,105
EDUCATION,4,15,11,3,1488.0,496.0,300.0,105
TRAVEL,4,15,16,6,963.5,160.6,100.0,105
CASH_WITHDRAWAL,4,15,9,6,555.3,92.5,50.0,105
CASH_DEPOSIT,4,15,12,2,1043.4,521.7,300.0,105
BANK_TRANSFER,4,15,17,2,2083.2,1041.6,500.0,105
CREDIT_CARD_PAYMENT,4,15,18,5,410.9,82.2,40.0,105
FOOD_GROCERIES,4,16,10,40,1783.1,44.6,15.0,106
FOOD_RESTAURANT,4,16,21,28,634.2,22.6,12.0,106
TRANSPORT_PUBLIC,4,16,17,30,265.3,8.8,5.0,106
TRANSPORT_PRIVATE,4,16,19,22,334.8,15.2,8.0,106
HEALTHCARE,4,16,8,12,1427.4,118.9,80.0,106
SHOPPING_CLOTHES,4,16,15,15,1323.1,88.2,45.0,106
SHOPPING_ELECTRONICS,4,16,19,8,1873.9,234.2,150.0,106
ENTERTAINMENT,4,16,18,17,551.9,32.5,20.0,106
HOUSING,4,16,2,6,11167.4,1861.2,600.0,106
INSURANCE,4,16,3,3,610.5,203.5,100.0,106
EDUCATION,4,16,15,3,1390.1,463.4,300.0,106
TRAVEL,4,16,13,5,740.9,148.2,100.0,106
CASH_WITHDRAWAL,4,16,18,5,538.7,107.7,50.0,106
CASH_DEPOSIT,4,16,10,2,935.8,467.9,300.0,106
BANK_TRANSFER,4,16,10,3,2836.8,945.6,500.0,106
CREDIT_CARD_PAYMENT,4,16,20,5,346.1,69.2,40.0,106
FOOD_GROCERIES,4,17,13,36,1765.4,49.0,15.0,107
FOOD_RESTAURANT,4,17,21,21,574.7,27.4,12.0,107
TRANSPORT_PUBLIC,4,17,9,42,359.4,8.6,5.0,107
TRANSPORT_PRIVATE,4,17,19,28,452.1,16.1,8.0,107
HEALTHCARE,4,17,17,12,1447.5,120.6,80.0,107
SHOPPING_CLOTHES,4,17,10,14,1129.9,80.7,45.0,107
SHOPPING_ELECTRONICS,4,17,17,8,2151.6,268.9,150.0,107
ENTERTAINMENT,4,17,21,21,805.1,38.3,20.0,107
HOUSING,4,17,5,6,9752.8,1625.5,600.0,107
INSURANCE,4,17,1,2,375.3,187.6,100.0,107
EDUCATION,4,17,15,2,934.1,467.0,300.0,107
TRAVEL,4,17,10,5,753.8,150.8,100.0,107
CASH_WITHDRAWAL,4,17,20,6,612.4,102.1,50.0,107
CASH_DEPOSIT,4,17,16,2,997.2,498.6,300.0,107
BANK_TRANSFER,4,17,12,2,1960.6,980.3,500.0,107
CREDIT_CARD_PAYMENT,4,17,20,5,357.7,71.5,40.0,107
FOOD_GROCERIES,4,18,13,49,2018.1,41.2,15.0,108
FOOD_RESTAURANT,4,18,21,30,733.7,24.5,12.0,108
TRANSPORT_PUBLIC,4,18,19,31,257.0,8.3,5.0,108
TRANSPORT_PRIVATE,4,18,7,27,441.5,16.4,8.0,108
HEALTHCARE,4,18,8,13,1572.6,121.0,80.0,108
SHOPPING_CLOTHES,4,18,10,20,1601.4,80.1,45.0,108
SHOPPING_ELECTRONICS,4,18,11,10,2621.5,262.1,150.0,108
ENTERTAINMENT,4,18,21,17,571.7,33.6,20.0,108
HOUSING,4,18,5,6,10446.4,1741.1,600.0,108
INSURANCE,4,18,5,3,567.0,189.0,100.0,108
EDUCATION,4,18,9,2,901.1,450.5,300.0,108
TRAVEL,4,18,16,6,878.2,146.4,100.0,108
CASH_WITHDRAWAL,4,18,11,6,569.6,94.9,50.0,108
CASH_DEPOSIT,4,18,9,2,995.7,497.8,300.0,108
BANK_TRANSFER,4,18,17,2,2162.3,1081.2,500.0,108
CREDIT_CARD_PAYMENT,4,18,11,6,483.0,80.5,40.0,108
FOOD_GROCERIES,4,19,18,39,1689.3,43.3,15.0,109
FOOD_RESTAURANT,4,19,11,23,565.0,24.6,12.0,109
TRANSPORT_PUBLIC,4,19,8,39,351.0,9.0,5.0,109
TRANSPORT_PRIVATE,4,19,17,19,299.7,15.8,8.0,109
HEALTHCARE,4,19,11,11,1266.7,115.2,80.0,109
SHOPPING_CLOTHES,4,19,16,17,1546.8,91.0,45.0,109
SHOPPING_ELECTRONICS,4,19,10,10,2297.0,229.7,150.0,109
ENTERTAINMENT,4,19,21,18,608.2,33.8,20.0,109
HOUSING,4,19,5,4,6614.6,1653.6,600.0,109
INSURANCE,4,19,1,2,423.4,211.7,100.0,109
EDUCATION,4,19,8,2,1054.7,527.4,300.0,109
TRAVEL,4,19,9,6,853.2,142.2,100.0,109
CASH_WITHDRAWAL,4,19,19,5,504.7,100.9,50.0,109
CASH_DEPOSIT,4,19,16,3,1442.6,480.9,300.0,109
BANK_TRANSFER,4,19,16,3,3034.2,1011.4,500.0,109
CREDIT_CARD_PAYMENT,4,19,20,6,466.9,77.8,40.0,109
FOOD_GROCERIES,4,20,18,68,3233.6,47.6,15.0,110
FOOD_RESTAURANT,4,20,21,37,1004.9,27.2,12.0,110
TRANSPORT_PUBLIC,4,20,7,39,309.5,7.9,5.0,110
TRANSPORT_PRIVATE,4,20,9,27,381.5,14.1,8.0,110
HEALTHCARE,4,20,8,18,1956.6,108.7,80.0,110
SHOPPING_CLOTHES,4,20,11,27,2174.5,80.5,45.0,110
SHOPPING_ELECTRONICS,4,20,17,13,3403.4,261.8,150.0,110
ENTERTAINMENT,4,20,21,31,1159.6,37.4,20.0,110
HOUSING,4,20,1,8,13090.4,1636.3,600.0,110
INSURANCE,4,20,3,4,857.7,214.4,100.0,110
EDUCATION,4,20,16,3,1535.7,511.9,300.0,110
TRAVEL,4,20,15,6,976.0,162.7,100.0,110
CASH_WITHDRAWAL,4,20,13,6,598.2,99.7,50.0,110
CASH_DEPOSIT,4,20,17,4,2124.6,531.1,300.0,110
BANK_TRANSFER,4,20,14,4,4007.8,1002.0,500.0,110
CREDIT_CARD_PAYMENT,4,20,15,6,421.9,70.3,40.0,110
FOOD_GROCERIES,4,21,9,54,2201.6,40.8,15.0,111
FOOD_RESTAURANT,4,21,11,28,715.0,25.5,12.0,111
TRANSPORT_PUBLIC,4,21,8,41,369.3,9.0,5.0,111
TRANSPORT_PRIVATE,4,21,7,30,462.2,15.4,8.0,111
HEALTHCARE,4,21,17,16,1878.6,117.4,80.0,111
SHOPPING_CLOTHES,4,21,16,25,2093.0,83.7,45.0,111
SHOPPING_ELECTRONICS,4,21,15,13,3487.4,268.3,150.0,111
ENTERTAINMENT,4,21,18,32,1207.7,37.7,20.0,111
HOUSING,4,21,1,8,15145.4,1893.2,600.0,111
INSURANCE,4,21,4,4,809.3,202.3,100.0,111
EDUCATION,4,21,12,3,1487.1,495.7,300.0,111
TRAVEL,4,21,14,8,1120.6,140.1,100.0,111
CASH_WITHDRAWAL,4,21,12,9,845.7,94.0,50.0,111
CASH_DEPOSIT,4,21,13,3,1625.9,542.0,300.0,111
BANK_TRANSFER,4,21,17,4,4004.4,1001.1,500.0,111
CREDIT_CARD_PAYMENT,4,21,12,7,517.0,73.9,40.0,111
FOOD_GROCERIES,4,22,9,39,1908.9,48.9,15.0,112
FOOD_RESTAURANT,4,22,12,30,695.5,23.2,12.0,112
TRANSPORT_PUBLIC,4,22,9,30,252.0,8.4,5.0,112
TRANSPORT_PRIVATE,4,22,8,21,306.1,14.6,8.0,112
HEALTHCARE,4,22,10,13,1710.0,131.5,80.0,112
SHOPPING_CLOTHES,4,22,14,15,1194.6,79.6,45.0,112
SHOPPING_ELECTRONICS,4,22,10,8,2089.3,261.2,150.0,112
ENTERTAINMENT,4,22,19,19,647.0,34.1,20.0,112
HOUSING,4,22,5,6,11563.2,1927.2,600.0,112
INSURANCE,4,22,2,3,552.1,184.0,100.0,112
EDUCATION,4,22,15,2,971.9,486.0,300.0,112
TRAVEL,4,22,11,6,825.7,137.6,100.0,112
CASH_WITHDRAWAL,4,22,18,5,548.2,109.6,50.0,112
CASH_DEPOSIT,4,22,11,3,1631.5,543.8,300.0,112
BANK_TRANSFER,4,22,11,2,2163.3,1081.7,500.0,112
CREDIT_CARD_PAYMENT,4,22,12,5,339.2,67.8,40.0,112
FOOD_GROCERIES,4,23,11,36,1740.2,48.3,15.0,113
FOOD_RESTAURANT,4,23,18,28,725.4,25.9,12.0,113
TRANSPORT_PUBLIC,4,23,19,39,320.3,8.2,5.0,113
TRANSPORT_PRIVATE,4,23,17,22,334.1,15.2,8.0,113
HEALTHCARE,4,23,15,11,1255.7,114.2,80.0,113
SHOPPING_CLOTHES,4,23,10,17,1441.3,84.8,45.0,113
SHOPPING_ELECTRONICS,4,23,19,8,2035.2,254.4,150.0,113
ENTERTAINMENT,4,23,22,20,657.2,32.9,20.0,113
HOUSING,4,23,1,6,10149.3,1691.6,600.0,113
INSURANCE,4,23,3,3,579.7,193.2,100.0,113
EDUCATION,4,23,9,3,1379.9,460.0,300.0,113
TRAVEL,4,23,15,6,964.6,160.8,100.0,113
CASH_WITHDRAWAL,4,23,16,6,603.9,100.6,50.0,113
CASH_DEPOSIT,4,23,15,2,924.2,462.1,300.0,113
BANK_TRANSFER,4,23,10,3,3298.3,1099.4,500.0,113
CREDIT_CARD_PAYMENT,4,23,16,6,452.7,75.5,40.0,113
FOOD_GROCERIES,4,24,18,41,1717.0,41.9,15.0,114
FOOD_RESTAURANT,4,24,18,26,637.4,24.5,12.0,114
TRANSPORT_PUBLIC,4,24,8,38,336.9,8.9,5.0,114
TRANSPORT_PRIVATE,4,24,8,19,305.3,16.1,8.0,114
HEALTHCARE,4,24,9,13,1631.3,125.5,80.0,114
SHOPPING_CLOTHES,4,24,14,20,1747.1,87.4,45.0,114
SHOPPING_ELECTRONICS,4,24,19,9,2388.7,265.4,150.0,114
ENTERTAINMENT,4,24,21,22,708.6,32.2,20.0,114
HOUSING,4,24,2,5,8668.6,1733.7,600.0,114
INSURANCE,4,24,4,2,370.0,185.0,100.0,114
EDUCATION,4,24,11,2,928.5,464.3,300.0,114
TRAVEL,4,24,10,6,835.3,139.2,100.0,114
CASH_WITHDRAWAL,4,24,13,5,498.7,99.7,50.0,114
CASH_DEPOSIT,4,24,10,2,920.4,460.2,300.0,114
BANK_TRANSFER,4,24,12,2,2073.2,1036.6,500.0,114
CREDIT_CARD_PAYMENT,4,24,12,5,366.4,73.3,40.0,114
FOOD_GROCERIES,4,25,14,43,1769.4,41.1,15.0,115
FOOD_RESTAURANT,4,25,12,23,618.3,26.9,12.0,115
TRANSPORT_PUBLIC,4,25,9,31,285.1,9.2,5.0,115
TRANSPORT_PRIVATE,4,25,17,26,351.4,13.5,8.0,115
HEALTHCARE,4,25,16,10,1282.3,128.2,80.0,115
SHOPPING_CLOTHES,4,25,15,15,1217.8,81.2,45.0,115
SHOPPING_ELECTRONICS,4,25,19,10,2324.7,232.5,150.0,115
ENTERTAINMENT,4,25,19,23,728.9,31.7,20.0,115
HOUSING,4,25,2,4,7499.1,1874.8,600.0,115
INSURANCE,4,25,2,3,592.0,197.3,100.0,115
EDUCATION,4,25,8,2,1075.3,537.7,300.0,115
TRAVEL,4,25,17,6,947.3,157.9,100.0,115
CASH_WITHDRAWAL,4,25,11,6,638.9,106.5,50.0,115
CASH_DEPOSIT,4,25,13,3,1358.3,452.8,300.0,115
BANK_TRANSFER,4,25,14,3,3233.8,1077.9,500.0,115
CREDIT_CARD_PAYMENT,4,25,15,7,488.8,69.8,40.0,115
FOOD_GROCERIES,4,26,15,37,1555.4,42.0,15.0,116
FOOD_RESTAURANT,4,26,11,28,729.1,26.0,12.0,116
TRANSPORT_PUBLIC,4,26,18,36,300.8,8.4,5.0,116
TRANSPORT_PRIVATE,4,26,9,20,284.0,14.2,8.0,116
HEALTHCARE,4,26,16,11,1392.4,126.6,80.0,116
SHOPPING_CLOTHES,4,26,14,18,1416.8,78.7,45.0,116
SHOPPING_ELECTRONICS,4,26,14,10,2503.6,250.4,150.0,116
ENTERTAINMENT,4,26,22,19,636.5,33.5,20.0,116
HOUSING,4,26,5,5,9077.3,1815.5,600.0,116
INSURANCE,4,26,5,3,617.7,205.9,100.0,116
EDUCATION,4,26,12,3,1576.0,525.3,300.0,116
TRAVEL,4,26,16,6,914.0,152.3,100.0,116
CASH_WITHDRAWAL,4,26,13,7,723.3,103.3,50.0,116
CASH_DEPOSIT,4,26,11,2,1097.4,548.7,300.0,116
BANK_TRANSFER,4,26,15,2,2048.4,1024.2,500.0,116
CREDIT_CARD_PAYMENT,4,26,18,5,375.7,75.1,40.0,116
FOOD_GROCERIES,4,27,8,68,2969.9,43.7,15.0,117
FOOD_RESTAURANT,4,27,11,41,990.1,24.1,12.0,117
TRANSPORT_PUBLIC,4,27,7,42,343.2,8.2,5.0,117
TRANSPORT_PRIVATE,4,27,8,26,371.0,14.3,8.0,117
HEALTHCARE,4,27,17,18,2002.6,111.3,80.0,117
SHOPPING_CLOTHES,4,27,17,24,1893.0,78.9,45.0,117
SHOPPING_ELECTRONICS,4,27,18,10,2442.8,244.3,150.0,117
ENTERTAINMENT,4,27,18,26,980.0,37.7,20.0,117
HOUSING,4,27,4,8,14910.0,1863.7,600.0,117
INSURANCE,4,27,5,3,629.0,209.7,100.0,117
EDUCATION,4,27,13,3,1457.6,485.9,300.0,117
TRAVEL,4,27,12,7,1053.7,150.5,100.0,117
CASH_WITHDRAWAL,4,27,12,8,874.4,109.3,50.0,117
CASH_DEPOSIT,4,27,13,3,1649.6,549.9,300.0,117
BANK_TRANSFER,4,27,12,4,3730.8,932.7,500.0,117
CREDIT_CARD_PAYMENT,4,27,17,6,457.9,76.3,40.0,117
FOOD_GROCERIES,4,28,11,63,3044.2,48.3,15.0,118
FOOD_RESTAURANT,4,28,12,35,807.3,23.1,12.0,118
TRANSPORT_PUBLIC,4,28,18,39,315.9,8.1,5.0,118
TRANSPORT_PRIVATE,4,28,8,35,564.1,16.1,8.0,118
HEALTHCARE,4,28,17,15,1664.3,111.0,80.0,118
SHOPPING_CLOTHES,4,28,10,25,2303.7,92.1,45.0,118
SHOPPING_ELECTRONICS,4,28,13,11,2543.5,231.2,150.0,118
ENTERTAINMENT,4,28,22,22,799.3,36.3,20.0,118
HOUSING,4,28,3,7,13773.7,1967.7,600.0,118
INSURANCE,4,28,5,3,586.4,195.5,100.0,118
EDUCATION,4,28,13,3,1624.7,541.6,300.0,118
TRAVEL,4,28,14,8,1107.6,138.5,100.0,118
CASH_WITHDRAWAL,4,28,20,8,801.1,100.1,50.0,118
CASH_DEPOSIT,4,28,13,4,1823.4,455.8,300.0,118
BANK_TRANSFER,4,28,16,4,3901.4,975.4,500.0,118
CREDIT_CARD_PAYMENT,4,28,18,8,572.7,71.6,40.0,118
FOOD_GROCERIES,4,29,18,48,2366.1,49.3,15.0,119
FOOD_RESTAURANT,4,29,11,31,759.7,24.5,12.0,119
TRANSPORT_PUBLIC,4,29,6,37,300.5,8.1,5.0,119
TRANSPORT_PRIVATE,4,29,17,23,323.2,14.1,8.0,119
HEALTHCARE,4,29,10,10,1213.5,121.4,80.0,119
SHOPPING_CLOTHES,4,29,14,16,1338.9,83.7,45.0,119
SHOPPING_ELECTRONICS,4,29,13,10,2376.2,237.6,150.0,119
ENTERTAINMENT,4,29,19,21,677.4,32.3,20.0,119
HOUSING,4,29,4,5,9228.6,1845.7,600.0,119
INSURANCE,4,29,2,3,584.5,194.8,100.0,119
EDUCATION,4,29,16,2,954.3,477.1,300.0,119
TRAVEL,4,29,14,6,847.2,141.2,100.0,119
CASH_WITHDRAWAL,4,29,12,6,612.1,102.0,50.0,119
CASH_DEPOSIT,4,29,17,2,942.6,471.3,300.0,119
BANK_TRANSFER,4,29,17,2,1974.8,987.4,500.0,119
CREDIT_CARD_PAYMENT,4,29,17,6,444.0,74.0,40.0,119
FOOD_GROCERIES,4,30,10,56,2414.1,43.1,15.0,120
FOOD_RESTAURANT,4,30,21,23,625.8,27.2,12.0,120
TRANSPORT_PUBLIC,4,30,16,33,280.0,8.5,5.0,120
TRANSPORT_PRIVATE,4,30,8,28,402.8,14.4,8.0,120
HEALTHCARE,4,30,14,14,1814.8,129.6,80.0,120
SHOPPING_CLOTHES,4,30,19,22,1755.6,79.8,45.0,120
SHOPPING_ELECTRONICS,4,30,18,9,2471.8,274.6,150.0,120
ENTERTAINMENT,4,30,20,23,879.7,38.2,20.0,120
HOUSING,4,30,2,6,11300.5,1883.4,600.0,120
INSURANCE,4,30,5,2,409.9,205.0,100.0,120
EDUCATION,4,30,8,3,1590.9,530.3,300.0,120
TRAVEL,4,30,8,6,908.2,151.4,100.0,120
CASH_WITHDRAWAL,4,30,10,5,540.8,108.2,50.0,120
CASH_DEPOSIT,4,30,17,3,1504.3,501.4,300.0,120
BANK_TRANSFER,4,30,12,3,3028.4,1009.5,500.0,120
CREDIT_CARD_PAYMENT,4,30,17,7,540.3,77.2,40.0,120
FOOD_GROCERIES,5,1,19,55,2408.9,43.8,15.0,121
FOOD_RESTAURANT,5,1,13,25,678.5,27.1,12.0,121
TRANSPORT_PUBLIC,5,1,19,32,251.1,7.8,5.0,121
TRANSPORT_PRIVATE,5,1,18,22,353.5,16.1,8.0,121
HEALTHCARE,5,1,8,12,1512.6,126.1,80.0,121
SHOPPING_CLOTHES,5,1,16,20,1600.3,80.0,45.0,121
SHOPPING_ELECTRONICS,5,1,13,10,2705.9,270.6,150.0,121
ENTERTAINMENT,5,1,19,23,801.9,34.9,20.0,121
HOUSING,5,1,4,7,11693.1,1670.4,600.0,121
INSURANCE,5,1,3,3,596.4,198.8,100.0,121
EDUCATION,5,1,14,2,1041.1,520.6,300.0,121
TRAVEL,5,1,13,6,954.4,159.1,100.0,121
CASH_WITHDRAWAL,5,1,13,7,734.2,104.9,50.0,121
CASH_DEPOSIT,5,1,12,3,1529.1,509.7,300.0,121
BANK_TRANSFER,5,1,14,3,2974.7,991.6,500.0,121
CREDIT_CARD_PAYMENT,5,1,20,5,382.4,76.5,40.0,121
FOOD_GROCERIES,5,2,14,46,2152.1,46.8,15.0,122
FOOD_RESTAURANT,5,2,18,32,783.0,24.5,12.0,122
TRANSPORT_PUBLIC,5,2,17,39,354.9,9.1,5.0,122
TRANSPORT_PRIVATE,5,2,19,29,444.4,15.3,8.0,122
HEALTHCARE,5,2,10,15,1918.8,127.9,80.0,122
SHOPPING_CLOTHES,5,2,17,20,1542.0,77.1,45.0,122
SHOPPING_ELECTRONICS,5,2,17,9,2058.2,228.7,150.0,122
ENTERTAINMENT,5,2,22,18,590.5,32.8,20.0,122
HOUSING,5,2,2,6,9972.2,1662.0,600.0,122
INSURANCE,5,2,4,3,631.4,210.5,100.0,122
EDUCATION,5,2,10,3,1397.3,465.8,300.0,122
TRAVEL,5,2,16,5,805.3,161.1,100.0,122
CASH_WITHDRAWAL,5,2,14,5,540.1,108.0,50.0,122
CASH_DEPOSIT,5,2,16,3,1631.3,543.8,300.0,122
BANK_TRANSFER,5,2,9,3,3185.1,1061.7,500.0,122
CREDIT_CARD_PAYMENT,5,2,15,6,463.5,77.3,40.0,122
FOOD_GROCERIES,5,3,17,49,2050.1,41.8,15.0,123
FOOD_RESTAURANT,5,3,20,23,571.1,24.8,12.0,123
TRANSPORT_PUBLIC,5,3,17,35,289.7,8.3,5.0,123
TRANSPORT_PRIVATE,5,3,9,21,303.5,14.5,8.0,123
HEALTHCARE,5,3,14,12,1514.6,126.2,80.0,123
SHOPPING_CLOTHES,5,3,17,20,1570.1,78.5,45.0,123
SHOPPING_ELECTRONICS,5,3,18,11,2571.2,233.7,150.0,123
ENTERTAINMENT,5,3,21,21,761.8,36.3,20.0,123
HOUSING,5,3,1,5,8129.1,1625.8,600.0,123
INSURANCE,5,3,3,3,649.4,216.5,100.0,123
EDUCATION,5,3,10,3,1366.7,455.6,300.0,123
TRAVEL,5,3,11,5,753.3,150.7,100.0,123
CASH_WITHDRAWAL,5,3,9,6,602.9,100.5,50.0,123
CASH_DEPOSIT,5,3,10,2,1036.0,518.0,300.0,123
BANK_TRANSFER,5,3,17,3,3184.2,1061.4,500.0,123
CREDIT_CARD_PAYMENT,5,3,10,6,472.9,78.8,40.0,123
FOOD_GROCERIES,5,4,18,67,3010.6,44.9,15.0,124
FOOD_RESTAURANT,5,4,18,42,1090.2,26.0,12.0,124
TRANSPORT_PUBLIC,5,4,17,55,476.0,8.7,5.0,124
TRANSPORT_PRIVATE,5,4,7,37,533.1,14.4,8.0,124
HEALTHCARE,5,4,8,17,2048.2,120.5,80.0,124
SHOPPING_CLOTHES,5,4,14,20,1708.5,85.4,45.0,124
SHOPPING_ELECTRONICS,5,4,18,12,2845.4,237.1,150.0,124
ENTERTAINMENT,5,4,21,32,1193.5,37.3,20.0,124
HOUSING,5,4,2,8,13973.2,1746.6,600.0,124
INSURANCE,5,4,5,4,823.3,205.8,100.0,124
EDUCATION,5,4,15,3,1622.4,540.8,300.0,124
TRAVEL,5,4,13,6,984.9,164.1,100.0,124
CASH_WITHDRAWAL,5,4,18,9,950.3,105.6,50.0,124
CASH_DEPOSIT,5,4,13,4,1885.8,471.4,300.0,124
BANK_TRANSFER,5,4,13,4,3851.1,962.8,500.0,124
CREDIT_CARD_PAYMENT,5,4,21,6,454.8,75.8,40.0,124
FOOD_GROCERIES,5,5,19,51,2097.8,41.1,15.0,125
FOOD_RESTAURANT,5,5,11,40,947.2,23.7,12.0,125
TRANSPORT_PUBLIC,5,5,8,44,389.6,8.9,5.0,125
TRANSPORT_PRIVATE,5,5,8,37,520.2,14.1,8.0,125
HEALTHCARE,5,5,11,13,1517.4,116.7,80.0,125
SHOPPING_CLOTHES,5,5,14,25,2089.5,83.6,45.0,125
SHOPPING_ELECTRONICS,5,5,16,10,2274.5,227.5,150.0,125
ENTERTAINMENT,5,5,20,23,859.5,37.4,20.0,125
HOUSING,5,5,4,7,12333.9,1762.0,600.0,125
INSURANCE,5,5,4,4,823.3,205.8,100.0,125
EDUCATION,5,5,8,4,2181.4,545.3,300.0,125
TRAVEL,5,5,15,8,1283.2,160.4,100.0,125
CASH_WITHDRAWAL,5,5,10,8,858.4,107.3,50.0,125
CASH_DEPOSIT,5,5,9,3,1503.1,501.0,300.0,125
BANK_TRANSFER,5,5,15,3,3263.4,1087.8,500.0,125
CREDIT_CARD_PAYMENT,5,5,21,8,650.3,81.3,40.0,125
FOOD_GROCERIES,5,6,13,42,1886.3,44.9,15.0,126
FOOD_RESTAURANT,5,6,18,32,742.3,23.2,12.0,126
TRANSPORT_PUBLIC,5,6,18,37,286.6,7.7,5.0,126
TRANSPORT_PRIVATE,5,6,8,23,350.5,15.2,8.0,126
HEALTHCARE,5,6,11,11,1441.0,131.0,80.0,126
SHOPPING_CLOTHES,5,6,10,19,1531.5,80.6,45.0,126
SHOPPING_ELECTRONICS,5,6,13,8,2055.5,256.9,150.0,126
ENTERTAINMENT,5,6,18,24,877.1,36.5,20.0,126
HOUSING,5,6,1,5,8603.8,1720.8,600.0,126
INSURANCE,5,6,2,3,562.2,187.4,100.0,126
EDUCATION,5,6,13,2,1037.8,518.9,300.0,126
